cfes-vtstransact-webapp
cfes-vtstransact-webservice
datasynch-service
FS_GC_CCA_SERVICES
FS_GC_Redemption-TPS
greencard-ftl-process-w
GreenCard-Service
ibo-app-docker-pipeline-BMekonnen
ibo-app-docker-pipeline
ibo-mdm-docker-pipeline-BMekonnen
ibo-mdm-docker-pipeline
IIP_MM
IIP-Queue
IIP_Vericentre
itrac_monitor
itrac-org-admin
itrac-password-forgot
iTracPasswordHistory
Itrac-password-reset
itrac-remote
Launchworkflow
MDM_UTIL_AuditLogs
mo-cash-pipe
partner-service
Pipeline z_cclp-spil
pricing-service
product-service
ProductValidator
terminal-service
tms_fraud_ui
Transaction_Monitoring_Service_2.0
transaction-service
USS_GC_EJB_CLIENT
vms_cl_host
vms_cl_host_pipeline
vms_opt_pipeline
vts-dbproc-service-github
VTS-Entry-Point-Github
vts-web-app-Github
vts-web-services-wars-Github
wechatmgmt_api
WMS_TAM
